Problem no : 1
Source:  (90.3638, 23.8341)
Destination:  (90.3784, 23.7569)
Step 77 Cost: 0.466109906375419৳ . Ride Car from (90.368122999999997, 23.808893999999999) to (90.368179999999995, 23.808691000000000)
Step 78 Cost: 0.459651069204567৳ . Ride Car from (90.368179999999995, 23.808691000000000) to (90.368236999999993, 23.808491000000000)
Step 79 Cost: 0.225265017882111৳ . Ride Car from (90.368236999999993, 23.808491000000000) to (90.368264999999994, 23.808392999999999)
Step 80 Cost: 1.752824721171166৳ . Ride Car from (90.368264999999994, 23.808392999999999) to (90.368481000000003, 23.807630000000000)
Step 81 Cost: 1.174083857623476৳ . Ride Car from (90.368481000000003, 23.807630000000000) to (90.368626000000006, 23.807119000000000)
Step 82 Cost: 0.233882399319651৳ . Ride Car from (90.368626000000006, 23.807119000000000) to (90.368654000000006, 23.807016999999998)
Step 83 Cost: 0.598639165739927৳ . Ride Car from (90.368654000000006, 23.807016999999998) to (90.368725999999995, 23.806756000000000)
Step 84 Cost: 0.229571169861493৳ . Ride Car from (90.368725999999995, 23.806756000000000) to (90.368753999999996, 23.806656000000000)
Step 85 Cost: 0.503643031875274৳ . Ride Car from (90.368753999999996, 23.806656000000000) to (90.368835000000004, 23.806442000000001)
Step 86 Cost: 1.176302789911051৳ . Ride Car from (90.368835000000004, 23.806442000000001) to (90.369050000000001, 23.805951000000000)
Step 87 Cost: 0.186749999849515৳ . Ride Car from (90.369050000000001, 23.805951000000000) to (90.369084000000001, 23.805872999999998)
Step 88 Cost: 0.765787359993747৳ . Ride Car from (90.369084000000001, 23.805872999999998) to (90.369223000000005, 23.805553000000000)
Step 89 Cost: 0.356779213659085৳ . Ride Car from (90.369223000000005, 23.805553000000000) to (90.369287999999997, 23.805403999999999)
Step 90 Cost: 0.999807734494238৳ . Ride Car from (90.369287999999997, 23.805403999999999) to (90.369491999999994, 23.804995000000002)
Step 91 Cost: 0.882421774845476৳ . Ride Car from (90.369491999999994, 23.804995000000002) to (90.369671999999994, 23.804634000000000)
Step 92 Cost: 0.335465320521801৳ . Ride Car from (90.369671999999994, 23.804634000000000) to (90.369741000000005, 23.804497000000001)
Step 93 Cost: 0.464655259795761৳ . Ride Car from (90.369741000000005, 23.804497000000001) to (90.369836000000006, 23.804307000000001)
Step 94 Cost: 0.502941216013816৳ . Ride Car from (90.369836000000006, 23.804307000000001) to (90.369938000000005, 23.804100999999999)
Step 95 Cost: 0.871466191133425৳ . Ride Car from (90.369938000000005, 23.804100999999999) to (90.370116999999993, 23.803744999999999)
Step 96 Cost: 0.203406499864624৳ . Ride Car from (90.370116999999993, 23.803744999999999) to (90.370159000000001, 23.803661999999999)
Step 97 Cost: 0.274495107360815৳ . Ride Car from (90.370159000000001, 23.803661999999999) to (90.370208000000005, 23.803546999999998)
Step 98 Cost: 0.505048890796222৳ . Ride Car from (90.370208000000005, 23.803546999999998) to (90.370296999999994, 23.803335000000001)
Step 99 Cost: 0.229214579058848৳ . Ride Car from (90.370296999999994, 23.803335000000001) to (90.370338000000004, 23.803239000000001)
Step 100 Cost: 0.817866533089057৳ . Ride Car from (90.370338000000004, 23.803239000000001) to (90.370482999999993, 23.802896000000000)
Step 101 Cost: 0.449405336470982৳ . Ride Car from (90.370482999999993, 23.802896000000000) to (90.370564000000002, 23.802707999999999)
Step 102 Cost: 0.198586834667794৳ . Ride Car from (90.370564000000002, 23.802707999999999) to (90.370599999999996, 23.802624999999999)
Step 103 Cost: 1.316099480836799৳ . Ride Car from (90.370599999999996, 23.802624999999999) to (90.370835999999997, 23.802074000000001)
Step 104 Cost: 0.331614766576576৳ . Ride Car from (90.370835999999997, 23.802074000000001) to (90.370895000000004, 23.801935000000000)
Step 105 Cost: 0.962140394168056৳ . Ride Car from (90.370895000000004, 23.801935000000000) to (90.371066999999996, 23.801532000000002)
Step 106 Cost: 0.734262309099027৳ . Ride Car from (90.371066999999996, 23.801532000000002) to (90.371196999999995, 23.801224000000001)
Step 107 Cost: 0.778206681750442৳ . Ride Car from (90.371196999999995, 23.801224000000001) to (90.371335999999999, 23.800898000000000)
Step 108 Cost: 0.438898445099559৳ . Ride Car from (90.371335999999999, 23.800898000000000) to (90.371414000000001, 23.800713999999999)
Step 109 Cost: 0.386661954187415৳ . Ride Car from (90.371414000000001, 23.800713999999999) to (90.371482999999998, 23.800552000000000)
Step 110 Cost: 0.099603217048510৳ . Ride Car from (90.371482999999998, 23.800552000000000) to (90.371499999999997, 23.800509999999999)
Step 111 Cost: 0.196521927224424৳ . Ride Car from (90.371499999999997, 23.800509999999999) to (90.371536000000006, 23.800428000000000)
Step 112 Cost: 1.110562745618531৳ . Ride Car from (90.371536000000006, 23.800428000000000) to (90.371735000000001, 23.799963000000002)
Step 113 Cost: 1.285473825434142৳ . Ride Car from (90.371735000000001, 23.799963000000002) to (90.371966000000000, 23.799424999999999)
Step 114 Cost: 0.569753821755756৳ . Ride Car from (90.371966000000000, 23.799424999999999) to (90.372061000000002, 23.799184000000000)
Step 115 Cost: 0.677522315392806৳ . Ride Car from (90.372061000000002, 23.799184000000000) to (90.372186999999997, 23.798901999999998)
Step 116 Cost: 1.298511047788732৳ . Ride Car from (90.372186999999997, 23.798901999999998) to (90.372416000000001, 23.798356999999999)
Step 117 Cost: 2.178826282149949৳ . Ride Car from (90.372416000000001, 23.798356999999999) to (90.372793000000001, 23.797440000000002)
Step 118 Cost: 0.334427805185224৳ . Ride Car from (90.372793000000001, 23.797440000000002) to (90.372853000000006, 23.797300000000000)
Step 119 Cost: 0.509933763753681৳ . Ride Car from (90.372853000000006, 23.797300000000000) to (90.372943000000006, 23.797086000000000)
Step 120 Cost: 1.350143217424971৳ . Ride Car from (90.372943000000006, 23.797086000000000) to (90.373182999999997, 23.796520000000001)
Step 121 Cost: 0.140726355081223৳ . Ride Car from (90.373182999999997, 23.796520000000001) to (90.373208000000005, 23.796461000000001)
Step 122 Cost: 0.499572484797809৳ . Ride Car from (90.373208000000005, 23.796461000000001) to (90.373298000000005, 23.796251999999999)
Step 123 Cost: 1.373226621429150৳ . Ride Car from (90.373298000000005, 23.796251999999999) to (90.373543999999995, 23.795677000000001)
Step 124 Cost: 0.571342621764248৳ . Ride Car from (90.373543999999995, 23.795677000000001) to (90.373647000000005, 23.795438000000001)
Step 125 Cost: 0.582437625619376৳ . Ride Car from (90.373647000000005, 23.795438000000001) to (90.373750999999999, 23.795193999999999)
Step 126 Cost: 0.415223863669173৳ . Ride Car from (90.373750999999999, 23.795193999999999) to (90.373824999999997, 23.795020000000001)
Step 127 Cost: 0.170031033102202৳ . Ride Car from (90.373824999999997, 23.795020000000001) to (90.373856000000004, 23.794948999999999)
Step 128 Cost: 0.835824215856712৳ . Ride Car from (90.373856000000004, 23.794948999999999) to (90.373997000000003, 23.794595999999999)
Step 129 Cost: 1.129757452254161৳ . Ride Car from (90.373997000000003, 23.794595999999999) to (90.374188000000004, 23.794118999999998)
Step 130 Cost: 0.466130843185874৳ . Ride Car from (90.374188000000004, 23.794118999999998) to (90.374272000000005, 23.793924000000001)
Step 131 Cost: 0.909336962279083৳ . Ride Car from (90.374272000000005, 23.793924000000001) to (90.374437000000000, 23.793544000000001)
Step 132 Cost: 0.218130053046104৳ . Ride Car from (90.374437000000000, 23.793544000000001) to (90.374476999999999, 23.793453000000000)
Step 133 Cost: 0.530397814192520৳ . Ride Car from (90.374476999999999, 23.793453000000000) to (90.374574999999993, 23.793232000000000)
Step 134 Cost: 1.245379928931433৳ . Ride Car from (90.374574999999993, 23.793232000000000) to (90.374785000000003, 23.792705999999999)
Step 135 Cost: 0.215225477589656৳ . Ride Car from (90.374785000000003, 23.792705999999999) to (90.374820999999997, 23.792615000000001)
Step 136 Cost: 0.135844600894216৳ . Ride Car from (90.374820999999997, 23.792615000000001) to (90.374844999999993, 23.792558000000000)
Step 137 Cost: 0.679957337027441৳ . Ride Car from (90.374844999999993, 23.792558000000000) to (90.374966000000001, 23.792273000000002)
Step 138 Cost: 0.378973604204981৳ . Ride Car from (90.374966000000001, 23.792273000000002) to (90.375033000000002, 23.792114000000002)
Step 139 Cost: 1.188156265980070৳ . Ride Car from (90.375033000000002, 23.792114000000002) to (90.375249999999994, 23.791618000000000)
Step 140 Cost: 0.071770165302365৳ . Ride Car from (90.375249999999994, 23.791618000000000) to (90.375263000000004, 23.791588000000001)
Step 141 Cost: 0.498259281573962৳ . Ride Car from (90.375263000000004, 23.791588000000001) to (90.375354000000002, 23.791380000000000)
Step 142 Cost: 1.085009861538428৳ . Ride Car from (90.375354000000002, 23.791380000000000) to (90.375551999999999, 23.790927000000000)
Step 143 Cost: 1.044618146033223৳ . Ride Car from (90.375551999999999, 23.790927000000000) to (90.375743000000000, 23.790490999999999)
Step 144 Cost: 0.243129382476879৳ . Ride Car from (90.375743000000000, 23.790490999999999) to (90.375786000000005, 23.790389000000001)
Step 145 Cost: 0.882295156505491৳ . Ride Car from (90.375786000000005, 23.790389000000001) to (90.375947999999994, 23.790020999999999)
Step 146 Cost: 0.898485181310509৳ . Ride Car from (90.375947999999994, 23.790020999999999) to (90.376114999999999, 23.789646999999999)
Step 147 Cost: 0.096202064167904৳ . Ride Car from (90.376114999999999, 23.789646999999999) to (90.376132999999996, 23.789607000000000)
Step 148 Cost: 0.865046012027625৳ . Ride Car from (90.376132999999996, 23.789607000000000) to (90.376294000000001, 23.789247000000000)
Step 149 Cost: 0.860257081037929৳ . Ride Car from (90.376294000000001, 23.789247000000000) to (90.376442999999995, 23.788885000000001)
Step 150 Cost: 0.502617528097238৳ . Ride Car from (90.376442999999995, 23.788885000000001) to (90.376536999999999, 23.788675999999999)
Step 151 Cost: 0.285777189646423৳ . Ride Car from (90.376536999999999, 23.788675999999999) to (90.376589999999993, 23.788557000000001)
Step 152 Cost: 0.988269001592765৳ . Ride Car from (90.376589999999993, 23.788557000000001) to (90.376772000000003, 23.788145000000000)
Step 153 Cost: 0.139415873150053৳ . Ride Car from (90.376772000000003, 23.788145000000000) to (90.376797999999994, 23.788087000000001)
Step 154 Cost: 1.900225716168103৳ . Ride Car from (90.376797999999994, 23.788087000000001) to (90.377143000000004, 23.787292999999998)
Step 155 Cost: 0.133043041411794৳ . Ride Car from (90.377143000000004, 23.787292999999998) to (90.377166000000003, 23.787237000000001)
Step 156 Cost: 1.250724778875893৳ . Ride Car from (90.377166000000003, 23.787237000000001) to (90.377392000000000, 23.786714000000000)
Step 157 Cost: 0.447936097942964৳ . Ride Car from (90.377392000000000, 23.786714000000000) to (90.377471000000000, 23.786525999999999)
Step 158 Cost: 0.552415693892028৳ . Ride Car from (90.377471000000000, 23.786525999999999) to (90.377567999999997, 23.786294000000002)
Step 159 Cost: 1.264356301487313৳ . Ride Car from (90.377567999999997, 23.786294000000002) to (90.377790000000005, 23.785762999999999)
Step 160 Cost: 1.038676313018942৳ . Ride Car from (90.377790000000005, 23.785762999999999) to (90.377972999999997, 23.785326999999999)
Step 161 Cost: 0.514451427319078৳ . Ride Car from (90.377972999999997, 23.785326999999999) to (90.378068999999996, 23.785112999999999)
Step 162 Cost: 0.406084345783382৳ . Ride Car from (90.378068999999996, 23.785112999999999) to (90.378135999999998, 23.784941000000000)
Step 163 Cost: 0.401897585356426৳ . Ride Car from (90.378135999999998, 23.784941000000000) to (90.378202999999999, 23.784770999999999)
Step 164 Cost: 0.722513323561473৳ . Ride Car from (90.378202999999999, 23.784770999999999) to (90.378302000000005, 23.784458999999998)
Step 165 Cost: 1.461111863753304৳ . Ride Car from (90.378302000000005, 23.784458999999998) to (90.378501999999997, 23.783828000000000)
Step 166 Cost: 0.976782421893087৳ . Ride Car from (90.378501999999997, 23.783828000000000) to (90.378656000000007, 23.783411999999998)
Step 167 Cost: 0.227819119885576৳ . Ride Car from (90.378656000000007, 23.783411999999998) to (90.378692000000001, 23.783315000000002)
Step 168 Cost: 0.909179637590541৳ . Ride Car from (90.378692000000001, 23.783315000000002) to (90.378826000000004, 23.782924999999999)
Step 169 Cost: 0.345112976423280৳ . Ride Car from (90.378826000000004, 23.782924999999999) to (90.378877000000003, 23.782776999999999)
Step 170 Cost: 2.276225343148731৳ . Ride Car from (90.378877000000003, 23.782776999999999) to (90.379181000000003, 23.781791999999999)
Step 171 Cost: 0.357728353537738৳ . Ride Car from (90.379181000000003, 23.781791999999999) to (90.379227999999998, 23.781637000000000)
Step 172 Cost: 2.721830817800802৳ . Ride Car from (90.379227999999998, 23.781637000000000) to (90.379582999999997, 23.780456999999998)
Step 173 Cost: 0.067043428253853৳ . Ride Car from (90.379582999999997, 23.780456999999998) to (90.379592000000002, 23.780428000000001)
Step 174 Cost: 2.440437753391906৳ . Ride Car from (90.379592000000002, 23.780428000000001) to (90.379893999999993, 23.779366000000000)
Step 175 Cost: 1.477668703535300৳ . Ride Car from (90.379893999999993, 23.779366000000000) to (90.380077000000000, 23.778722999999999)
Step 176 Cost: 2.685667550537302৳ . Ride Car from (90.380077000000000, 23.778722999999999) to (90.380443999999997, 23.777563000000001)
Step 177 Cost: 1.738965282466229৳ . Ride Car from (90.380443999999997, 23.777563000000001) to (90.380681999999993, 23.776812000000000)
Step 178 Cost: 0.894178184471565৳ . Ride Car from (90.380681999999993, 23.776812000000000) to (90.380804999999995, 23.776426000000001)
Step 179 Cost: 5.120377101060127৳ . Ride Car from (90.380804999999995, 23.776426000000001) to (90.381451999999996, 23.774201000000001)
Step 180 Cost: 1.746836232950306৳ . Ride Car from (90.381451999999996, 23.774201000000001) to (90.381673000000006, 23.773441999999999)
Step 181 Cost: 0.235448074484038৳ . Ride Car from (90.381673000000006, 23.773441999999999) to (90.381703999999999, 23.773340000000001)
Step 182 Cost: 1.420208750397855৳ . Ride Car from (90.381703999999999, 23.773340000000001) to (90.381891999999993, 23.772725000000001)
Step 183 Cost: 1.886756073472085৳ . Ride Car from (90.381891999999993, 23.772725000000001) to (90.382157000000007, 23.771912000000000)
Step 184 Cost: 0.237157334484396৳ . Ride Car from (90.382157000000007, 23.771912000000000) to (90.382191000000006, 23.771809999999999)
Step 185 Cost: 1.922439598128318৳ . Ride Car from (90.382191000000006, 23.771809999999999) to (90.382465999999994, 23.770983000000001)
Step 186 Cost: 0.394934989072412৳ . Ride Car from (90.382465999999994, 23.770983000000001) to (90.382498999999996, 23.770807999999999)
Step 187 Cost: 1.073639425358117৳ . Ride Car from (90.382498999999996, 23.770807999999999) to (90.382572999999994, 23.770330000000001)
Step 188 Cost: 1.167399354031353৳ . Ride Car from (90.382572999999994, 23.770330000000001) to (90.382659000000004, 23.769811000000001)
Step 189 Cost: 1.642886703559976৳ . Ride Car from (90.382659000000004, 23.769811000000001) to (90.382862000000003, 23.769096000000001)
Step 190 Cost: 1.520770568994565৳ . Ride Car from (90.382862000000003, 23.769096000000001) to (90.383072999999996, 23.768439999999998)
Step 191 Cost: 3.840771574393056৳ . Ride Car from (90.383072999999996, 23.768439999999998) to (90.383184999999997, 23.766715999999999)
Step 192 Cost: 1.298431818503038৳ . Ride Car from (90.383184999999997, 23.766715999999999) to (90.383247999999995, 23.766134999999998)
Step 193 Cost: 2.242863090761834৳ . Ride Car from (90.383247999999995, 23.766134999999998) to (90.383391000000003, 23.765135000000001)
Step 194 Cost: 3.367301444720896৳ . Ride Car from (90.383391000000003, 23.765135000000001) to (90.383478999999994, 23.763622999999999)
Step 195 Cost: 2.489416571094306৳ . Ride Car from (90.383478999999994, 23.763622999999999) to (90.383539999999996, 23.762505000000001)
Step 196 Cost: 0.676849043849379৳ . Ride Car from (90.383539999999996, 23.762505000000001) to (90.383555999999999, 23.762201000000001)
Step 197 Cost: 1.411648939151075৳ . Ride Car from (90.383555999999999, 23.762201000000001) to (90.383589999999998, 23.761566999999999)
Step 198 Cost: 0.632897685918053৳ . Ride Car from (90.383589999999998, 23.761566999999999) to (90.383610000000004, 23.761282999999999)
Step 199 Cost: 2.883293517772796৳ . Ride Car from (90.383610000000004, 23.761282999999999) to (90.383697999999995, 23.759989000000001)
Step 200 Cost: 2.524546623356207৳ . Ride Car from (90.383697999999995, 23.759989000000001) to (90.383775000000000, 23.758856000000002)
Step 201 Cost: 2.429007291438812৳ . Ride Car from (90.383775000000000, 23.758856000000002) to (90.382585000000006, 23.758773999999999)
Step 202 Cost: 1.451451359133304৳ . Ride Car from (90.382585000000006, 23.758773999999999) to (90.381873999999996, 23.758724000000001)
Step 203 Cost: 1.392088591293933৳ . Ride Car from (90.381873999999996, 23.758724000000001) to (90.381191999999999, 23.758676999999999)
Step 204 Cost: 0.624758525787462৳ . Ride Car from (90.381191999999999, 23.758676999999999) to (90.380886000000004, 23.758655000000001)
Step 205 Cost: 1.708360148000265৳ . Ride Car from (90.380886000000004, 23.758655000000001) to (90.380049000000000, 23.758597999999999)
Step 206 Cost: 1.284016742255268৳ . Ride Car from (90.380049000000000, 23.758597999999999) to (90.379419999999996, 23.758554000000000)
Step 207 Cost: 0.971837484708393৳ . Ride Car from (90.379419999999996, 23.758554000000000) to (90.379491999999999, 23.758122000000000)
Step 208 Cost: 0.611795767554201৳ . Ride Car from (90.379491999999999, 23.758122000000000) to (90.379536999999999, 23.757850000000001)
Step 209 Cost: 0.328343479483063৳ . Ride Car from (90.379536999999999, 23.757850000000001) to (90.379560999999995, 23.757704000000000)
Step 210 Cost: 1.640129821534358৳ . Ride Car from (90.379560999999995, 23.757704000000000) to (90.379683000000000, 23.756975000000001)
Step 211 Cost: 1.898374735883477৳ . Ride Car from (90.379683000000000, 23.756975000000001) to (90.378750999999994, 23.756943000000000)
Step 212 Cost: 0.804695043820449৳ . Ride Car from (90.378750999999994, 23.756943000000000) to (90.378355999999997, 23.756927999999998)
Step 213 Cost: 0৳ .  Walk from  (90.378355999999997, 23.756927999999998) to Destination  (90.378360000000001, 23.756930000000001)
