Problem:5
Source:  (90.363833000000000, 23.834144999999999)
Destination:  (90.378360000000001, 23.756930000000001)
Step 52 Time : 20 : 10. Cost: 0.166912282844245time . Ride Car from (90.387326999999999, 23.827518000000001) to (90.387559999999993, 23.827387000000002)
Step 53 Time : 20 : 11. Cost: 0.169264751572464time . Ride Car from (90.387559999999993, 23.827387000000002) to (90.387829999999994, 23.827328999999999)
Step 54 Time : 20 : 12. Cost: 0.203713862376233time . Ride Car from (90.387829999999994, 23.827328999999999) to (90.388163000000006, 23.827307999999999)
Step 55 Time : 20 : 13. Cost: 0.273276181609476time . Ride Car from (90.388163000000006, 23.827307999999999) to (90.388515999999996, 23.827559999999998)
Step 56 Time : 20 : 14. Cost: 0.184511832519560time . Ride Car from (90.388515999999996, 23.827559999999998) to (90.388778000000002, 23.827698000000002)
Step 57 Time : 20 : 15. Cost: 0.122338385804460time . Ride Car from (90.388778000000002, 23.827698000000002) to (90.388909999999996, 23.827836000000001)
Step 58 Time : 20 : 16. Cost: 0.033950791751727time . Ride Car from (90.388909999999996, 23.827836000000001) to (90.388947000000002, 23.827874000000001)
Step 59 Time : 20 : 17. Cost: 0.177438034223985time . Ride Car from (90.388947000000002, 23.827874000000001) to (90.389159000000006, 23.827691999999999)
Step 60 Time : 20 : 18. Cost: 0.263380784898813time . Ride Car from (90.389159000000006, 23.827691999999999) to (90.389185999999995, 23.827297999999999)
Step 61 Time : 20 : 19. Cost: 0.205304219175487time . Ride Car from (90.389185999999995, 23.827297999999999) to (90.389407000000006, 23.827065999999999)
Step 62 Time : 20 : 20. Cost: 0.481470751594679time . Ride Car from (90.389407000000006, 23.827065999999999) to (90.390164999999996, 23.827266000000002)
Step 63 Time : 20 : 21. Cost: 0.622996283688186time . Ride Car from (90.390164999999996, 23.827266000000002) to (90.391171999999997, 23.827418999999999)
Step 64 Time : 20 : 22. Cost: 0.292001895056829time . Ride Car from (90.391171999999997, 23.827418999999999) to (90.391430999999997, 23.827051000000001)
Step 65 Time : 20 : 23. Cost: 0.275126095224001time . Ride Car from (90.391430999999997, 23.827051000000001) to (90.391548999999998, 23.826653000000000)
Step 66 Time : 20 : 24. Cost: 0.464781941672288time . Ride Car from (90.391548999999998, 23.826653000000000) to (90.392301000000003, 23.826763000000000)
Step 67 Time : 20 : 25. Cost: 0.170552083625470time . Ride Car from (90.392301000000003, 23.826763000000000) to (90.392224999999996, 23.826516999999999)
Step 68 Time : 20 : 26. Cost: 0.290899120220796time . Ride Car from (90.392224999999996, 23.826516999999999) to (90.392168999999996, 23.826084000000002)
Step 69 Time : 20 : 27. Cost: 0.232397364892816time . Ride Car from (90.392168999999996, 23.826084000000002) to (90.392124999999993, 23.825738000000001)
Step 70 Time : 20 : 28. Cost: 0.036310012649074time . Ride Car from (90.392124999999993, 23.825738000000001) to (90.392184000000000, 23.825745000000001)
Step 71 Time : 20 : 29. Cost: 0.449947035926247time . Ride Car from (90.392184000000000, 23.825745000000001) to (90.392292999999995, 23.825078000000001)
Step 72 Time : 20 : 30. Cost: 0.095027070897983time . Ride Car from (90.392292999999995, 23.825078000000001) to (90.392447000000004, 23.825099000000002)
Step 73 Time : 20 : 31. Cost: 0.079427339660076time . Ride Car from (90.392447000000004, 23.825099000000002) to (90.392573999999996, 23.825125000000000)
Step 74 Time : 20 : 32. Cost: 0.657867325741363time . Ride Car from (90.392573999999996, 23.825125000000000) to (90.393635000000003, 23.825299000000001)
Step 75 Time : 20 : 33. Cost: 0.288874546027168time . Ride Car from (90.393635000000003, 23.825299000000001) to (90.393770000000004, 23.824884000000001)
Step 76 Time : 20 : 34. Cost: 0.040395978574608time . Ride Car from (90.393770000000004, 23.824884000000001) to (90.393788999999998, 23.824826000000002)
Step 77 Time : 20 : 35. Cost: 0.076476416126250time . Ride Car from (90.393788999999998, 23.824826000000002) to (90.393724000000006, 23.824728000000000)
Step 78 Time : 20 : 36. Cost: 0.264527584884039time . Ride Car from (90.393724000000006, 23.824728000000000) to (90.394102000000004, 23.824534000000000)
Step 79 Time : 20 : 37. Cost: 0.273478463862142time . Ride Car from (90.394102000000004, 23.824534000000000) to (90.394233000000000, 23.824141999999998)
Step 80 Time : 20 : 38. Cost: 0.506309168673613time . Ride Car from (90.394233000000000, 23.824141999999998) to (90.394075000000001, 23.823397000000000)
Step 81 Time : 20 : 39. Cost: 0.586308503799684time . Ride Car from (90.394075000000001, 23.823397000000000) to (90.393518000000000, 23.822680999999999)
Step 82 Time : 20 : 40. Cost: 0.864745795306756time . Ride Car from (90.393518000000000, 23.822680999999999) to (90.394395000000003, 23.821663000000001)
Step 83 Time : 20 : 41. Cost: 0.180470899110055time . Ride Car from (90.394395000000003, 23.821663000000001) to (90.394572999999994, 23.821446999999999)
Step 84 Time : 20 : 42. Cost: 0.340837290087958time . Ride Car from (90.394572999999994, 23.821446999999999) to (90.394935000000004, 23.821058000000001)
Step 85 Time : 20 : 43. Cost: 0.253722059025097time . Ride Car from (90.394935000000004, 23.821058000000001) to (90.395195999999999, 23.820761999999998)
Step 86 Time : 20 : 44. Cost: 0.321862073506565time . Ride Car from (90.395195999999999, 23.820761999999998) to (90.395537000000004, 23.820394000000000)
Step 87 Time : 20 : 45. Cost: 0.672531325408065time . Ride Car from (90.395537000000004, 23.820394000000000) to (90.396235000000004, 23.819614000000001)
Step 88 Time : 20 : 46. Cost: 0.601887911753829time . Ride Car from (90.396235000000004, 23.819614000000001) to (90.396842000000007, 23.818902999999999)
Step 89 Time : 20 : 47. Cost: 0.085394982254025time . Ride Car from (90.396842000000007, 23.818902999999999) to (90.396932000000007, 23.818805000000001)
Step 90 Time : 20 : 48. Cost: 0.341128094444790time . Ride Car from (90.396932000000007, 23.818805000000001) to (90.397260000000003, 23.818390999999998)
Step 91 Time : 20 : 49. Cost: 0.025475738459630time . Ride Car from (90.397260000000003, 23.818390999999998) to (90.397281000000007, 23.818358000000000)
Step 92 Time : 20 : 50. Cost: 0.611153059431402time . Ride Car from (90.397281000000007, 23.818358000000000) to (90.397819999999996, 23.817585999999999)
Step 93 Time : 20 : 51. Cost: 0.471783920504052time . Ride Car from (90.397819999999996, 23.817585999999999) to (90.398211000000003, 23.816976000000000)
Step 94 Time : 20 : 52. Cost: 0.371192331815309time . Ride Car from (90.398211000000003, 23.816976000000000) to (90.398731999999995, 23.817263000000001)
Step 95 Time : 20 : 53. Cost: 0.974178197569662time . Ride Car from (90.398731999999995, 23.817263000000001) to (90.400327000000004, 23.817208999999998)
Step 96 Time : 20 : 54. Cost: 2.328739255915710time . Ride Car from (90.400327000000004, 23.817208999999998) to (90.400264000000007, 23.813718999999999)
Step 97 Time : 20 : 57. Cost: 1.339816430042251time . Ride Car from (90.400264000000007, 23.813718999999999) to (90.399704999999997, 23.811776999999999)
Step 98 Time : 20 : 59. Cost: 0.724927640771720time . Ride Car from (90.399704999999997, 23.811776999999999) to (90.399314000000004, 23.810751000000000)
Step 99 Time : 21 : 0. Cost: 2.847537825407422time . Ride Car from (90.399314000000004, 23.810751000000000) to (90.398798999999997, 23.806508999999998)
Step 100 Time : 21 : 3. Cost: 0.623859638669687time . Ride Car from (90.398798999999997, 23.806508999999998) to (90.398469000000006, 23.805624000000002)
Step 101 Time : 21 : 4. Cost: 0.739085410847209time . Ride Car from (90.398469000000006, 23.805624000000002) to (90.397861000000006, 23.804666000000001)
Step 102 Time : 21 : 5. Cost: 1.187825825298799time . Ride Car from (90.397861000000006, 23.804666000000001) to (90.396575999999996, 23.803329000000002)
Step 103 Time : 21 : 7. Cost: 0.941741075384413time . Ride Car from (90.396575999999996, 23.803329000000002) to (90.395447000000004, 23.802367000000000)
Step 104 Time : 21 : 8. Cost: 0.543137011890171time . Ride Car from (90.395447000000004, 23.802367000000000) to (90.394790000000000, 23.801818000000001)
Step 105 Time : 21 : 9. Cost: 0.411203403544238time . Ride Car from (90.394790000000000, 23.801818000000001) to (90.394447999999997, 23.801286999999999)
Step 106 Time : 21 : 10. Cost: 1.345391519792553time . Ride Car from (90.394447999999997, 23.801286999999999) to (90.393801999999994, 23.799358999999999)
Step 107 Time : 21 : 12. Cost: 1.439232070744994time . Ride Car from (90.393801999999994, 23.799358999999999) to (90.393231000000000, 23.797266000000000)
Step 108 Time : 21 : 14. Cost: 2.426819954611996time . Ride Car from (90.393231000000000, 23.797266000000000) to (90.392233000000004, 23.793745000000001)
Step 109 Time : 21 : 17. Cost: 2.007899114955438time . Ride Car from (90.392233000000004, 23.793745000000001) to (90.391773000000001, 23.790765000000000)
Step 110 Time : 21 : 20. Cost: 2.093893310628322time . Ride Car from (90.391773000000001, 23.790765000000000) to (90.390827999999999, 23.787748000000001)
Step 111 Time : 21 : 23. Cost: 2.926695454782611time . Ride Car from (90.390827999999999, 23.787748000000001) to (90.389649000000006, 23.783496000000000)
Step 112 Time : 21 : 26. Cost: 2.460316951898917time . Ride Car from (90.389649000000006, 23.783496000000000) to (90.389494999999997, 23.779810999999999)
Step 113 Time : 21 : 29. Cost: 3.058641661626531time . Ride Car from (90.389494999999997, 23.779810999999999) to (90.389799999999994, 23.775234999999999)
Step 114 Time : 21 : 33. Cost: 1.003156911150434time . Ride Car from (90.389799999999994, 23.775234999999999) to (90.389965000000004, 23.773738999999999)
Step 115 Time : 21 : 35. Cost: 0.897462673971561time . Ride Car from (90.389965000000004, 23.773738999999999) to (90.389864000000003, 23.772397000000002)
Step 116 Time : 21 : 36. Cost: 2.850708027872563time . Ride Car from (90.389864000000003, 23.772397000000002) to (90.389268999999999, 23.768159000000001)
Step 117 Time : 21 : 39. Cost: 0.768937924316824time . Ride Car from (90.389268999999999, 23.768159000000001) to (90.389116000000001, 23.767015000000001)
Step 118 Time : 21 : 40. Cost: 0.503736701743631time . Ride Car from (90.389116000000001, 23.767015000000001) to (90.389107999999993, 23.766259999999999)
Step 119 Time : 21 : 41. Cost: 0.742378843000533time . Ride Car from (90.389107999999993, 23.766259999999999) to (90.389064000000005, 23.765148000000000)
Step 120 Time : 21 : 42. Cost: 0.524400961808994time . Ride Car from (90.389064000000005, 23.765148000000000) to (90.389060000000001, 23.764361999999998)
Step 121 Time : 21 : 43. Cost: 0.219965093359389time . Ride Car from (90.389060000000001, 23.764361999999998) to (90.389105999999998, 23.764035000000000)
Step 122 Time : 21 : 44. Cost: 0.334432601174005time . Ride Car from (90.389105999999998, 23.764035000000000) to (90.389123999999995, 23.763534000000000)
Step 123 Time : 21 : 45. Cost: 0.389886630711381time . Ride Car from (90.389123999999995, 23.763534000000000) to (90.389167999999998, 23.762951000000001)
Step 124 Time : 21 : 46. Cost: 0.125142645242963time . Ride Car from (90.389167999999998, 23.762951000000001) to (90.389184000000000, 23.762764000000001)
Step 125 Time : 21 : 47. Cost: 0.129846478757839time . Ride Car from (90.389184000000000, 23.762764000000001) to (90.389201000000000, 23.762570000000000)
Step 126 Time : 21 : 48. Cost: 0.299325450353372time . Ride Car from (90.389201000000000, 23.762570000000000) to (90.389242999999993, 23.762122999999999)
Step 127 Time : 21 : 49. Cost: 0.120046138555031time . Ride Car from (90.389242999999993, 23.762122999999999) to (90.389263000000000, 23.761944000000000)
Step 128 Time : 21 : 50. Cost: 0.570779351738082time . Ride Car from (90.389263000000000, 23.761944000000000) to (90.389358999999999, 23.761092999999999)
Step 129 Time : 21 : 51. Cost: 0.480039738613797time . Ride Car from (90.389358999999999, 23.761092999999999) to (90.389505000000000, 23.760386000000000)
Step 130 Time : 21 : 52. Cost: 0.063616369278430time . Ride Car from (90.389505000000000, 23.760386000000000) to (90.389527999999999, 23.760293000000001)
Step 131 Time : 21 : 53. Cost: 0.355380493561761time . Ride Car from (90.389527999999999, 23.760293000000001) to (90.389658999999995, 23.759774000000000)
Step 132 Time : 21 : 54. Cost: 0.410133383265466time . Ride Car from (90.389658999999995, 23.759774000000000) to (90.389809999999997, 23.759174999999999)
Step 133 Time : 21 : 55. Cost: 0.755014151294661time . Ride Car from (90.389809999999997, 23.759174999999999) to (90.388575000000003, 23.759119999999999)
Step 134 Time : 21 : 56. Cost: 0.275896612545947time . Ride Car from (90.388575000000003, 23.759119999999999) to (90.388124000000005, 23.759094999999999)
Step 135 Time : 21 : 57. Cost: 0.457566154214866time . Ride Car from (90.388124000000005, 23.759094999999999) to (90.387376000000003, 23.759053999999999)
Step 136 Time : 21 : 58. Cost: 0.635578728508342time . Ride Car from (90.387376000000003, 23.759053999999999) to (90.386336999999997, 23.758997000000001)
Step 137 Time : 21 : 59. Cost: 1.567249786531622time . Ride Car from (90.386336999999997, 23.758997000000001) to (90.383775000000000, 23.758856000000002)
Step 138 Time : 22 : 1. Cost: 0.728702187431644time . Ride Car from (90.383775000000000, 23.758856000000002) to (90.382585000000006, 23.758773999999999)
Step 139 Time : 22 : 2. Cost: 0.435435407739991time . Ride Car from (90.382585000000006, 23.758773999999999) to (90.381873999999996, 23.758724000000001)
Step 140 Time : 22 : 3. Cost: 0.417626577388180time . Ride Car from (90.381873999999996, 23.758724000000001) to (90.381191999999999, 23.758676999999999)
Step 141 Time : 22 : 4. Cost: 0.187427557736239time . Ride Car from (90.381191999999999, 23.758676999999999) to (90.380886000000004, 23.758655000000001)
Step 142 Time : 22 : 5. Cost: 0.512508044400080time . Ride Car from (90.380886000000004, 23.758655000000001) to (90.380049000000000, 23.758597999999999)
Step 143 Time : 22 : 6. Cost: 0.385205022676580time . Ride Car from (90.380049000000000, 23.758597999999999) to (90.379419999999996, 23.758554000000000)
Step 144 Time : 22 : 7. Cost: 0.291551245412518time . Ride Car from (90.379419999999996, 23.758554000000000) to (90.379491999999999, 23.758122000000000)
Step 145 Time : 22 : 8. Cost: 0.183538730266260time . Ride Car from (90.379491999999999, 23.758122000000000) to (90.379536999999999, 23.757850000000001)
Step 146 Time : 22 : 9. Cost: 0.098503043844919time . Ride Car from (90.379536999999999, 23.757850000000001) to (90.379560999999995, 23.757704000000000)
Step 147 Time : 22 : 10. Cost: 0.492038946460307time . Ride Car from (90.379560999999995, 23.757704000000000) to (90.379683000000000, 23.756975000000001)
Step 148 Time : 22 : 11. Cost: 0.569512420765043time . Ride Car from (90.379683000000000, 23.756975000000001) to (90.378750999999994, 23.756943000000000)
Step 149 Time : 22 : 12. Cost: 0.241408513146135time . Ride Car from (90.378750999999994, 23.756943000000000) to (90.378355999999997, 23.756927999999998)
Step 150 Time : 22 : 13. Cost: 0.013916241849384Time.  Walk from  (90.378355999999997, 23.756927999999998) to Destination  (90.378360000000001, 23.756930000000001)
