Problem no : 4
Source:  (90.363833000000000, 23.834144999999999)
Destination:  (90.378360000000001, 23.756930000000001)
Step 51 Time : 22 : 53. Cost: 0.654897310826723৳ . Ride Car from (90.362212999999997, 23.816147999999998) to (90.362374000000003, 23.815892999999999)
Step 52 Time : 22 : 54. Cost: 0.586420888631298৳ . Ride Car from (90.362374000000003, 23.815892999999999) to (90.362510999999998, 23.815660999999999)
Step 53 Time : 22 : 55. Cost: 0.527810121013710৳ . Ride Car from (90.362510999999998, 23.815660999999999) to (90.362575000000007, 23.815431000000000)
Step 54 Time : 22 : 56. Cost: 0.220359729873143৳ . Ride Car from (90.362575000000007, 23.815431000000000) to (90.362590999999995, 23.815332999999999)
Step 55 Time : 22 : 57. Cost: 0.905602218488075৳ . Ride Car from (90.362590999999995, 23.815332999999999) to (90.362662000000000, 23.814931000000001)
Step 56 Time : 22 : 58. Cost: 0.134028167206997৳ . Ride Car from (90.362662000000000, 23.814931000000001) to (90.362610000000004, 23.814893999999999)
Step 57 Time : 22 : 59. Cost: 0.451512036511334৳ . Ride Car from (90.362610000000004, 23.814893999999999) to (90.362471999999997, 23.814734999999999)
Step 58 Time : 23 : 0. Cost: 0.671651788327642৳ . Ride Car from (90.362471999999997, 23.814734999999999) to (90.362266000000005, 23.814499000000001)
Step 59 Time : 23 : 1. Cost: 0.252736518564359৳ . Ride Car from (90.362266000000005, 23.814499000000001) to (90.362205000000003, 23.814399999999999)
Step 60 Time : 23 : 2. Cost: 0.422505000218378৳ . Ride Car from (90.362205000000003, 23.814399999999999) to (90.362104000000002, 23.814233999999999)
Step 61 Time : 23 : 3. Cost: 0.554271262322589৳ . Ride Car from (90.362104000000002, 23.814233999999999) to (90.361969999999999, 23.814017000000000)
Step 62 Time : 23 : 4. Cost: 0.216060256780889৳ . Ride Car from (90.361969999999999, 23.814017000000000) to (90.361924999999999, 23.813929000000002)
Step 63 Time : 23 : 5. Cost: 0.775344273719000৳ . Ride Car from (90.361924999999999, 23.813929000000002) to (90.361763999999994, 23.813613000000000)
Step 64 Time : 23 : 6. Cost: 0.240514814905522৳ . Ride Car from (90.361763999999994, 23.813613000000000) to (90.361714000000006, 23.813514999999999)
Step 65 Time : 23 : 7. Cost: 0.999977197989370৳ . Ride Car from (90.361714000000006, 23.813514999999999) to (90.361496000000002, 23.813112000000000)
Step 66 Time : 23 : 8. Cost: 0.581011142897471৳ . Ride Car from (90.361496000000002, 23.813112000000000) to (90.361368999999996, 23.812878000000001)
Step 67 Time : 23 : 9. Cost: 0.310512490327176৳ . Ride Car from (90.361368999999996, 23.812878000000001) to (90.361300999999997, 23.812753000000001)
Step 68 Time : 23 : 10. Cost: 0.235376355872970৳ . Ride Car from (90.361300999999997, 23.812753000000001) to (90.361249999999998, 23.812657999999999)
Step 69 Time : 23 : 11. Cost: 0.707932545451932৳ . Ride Car from (90.361249999999998, 23.812657999999999) to (90.361095000000006, 23.812373000000001)
Step 70 Time : 23 : 12. Cost: 0.260721997642968৳ . Ride Car from (90.361095000000006, 23.812373000000001) to (90.361037999999994, 23.812268000000000)
Step 71 Time : 23 : 13. Cost: 0.262333737473665৳ . Ride Car from (90.361037999999994, 23.812268000000000) to (90.361001000000002, 23.812155000000001)
Step 72 Time : 23 : 14. Cost: 0.302054254059787৳ . Ride Car from (90.361001000000002, 23.812155000000001) to (90.360957999999997, 23.812024999999998)
Step 73 Time : 23 : 15. Cost: 0.316004314367557৳ . Ride Car from (90.360957999999997, 23.812024999999998) to (90.360912999999996, 23.811889000000001)
Step 74 Time : 23 : 16. Cost: 0.493761021564401৳ . Ride Car from (90.360912999999996, 23.811889000000001) to (90.360866999999999, 23.811671000000000)
Step 75 Time : 23 : 17. Cost: 0.099944387805277৳ . Ride Car from (90.360866999999999, 23.811671000000000) to (90.360856999999996, 23.811627000000001)
Step 76 Time : 23 : 18. Cost: 0.176128346957244৳ . Ride Car from (90.360856999999996, 23.811627000000001) to (90.360842000000005, 23.811548999999999)
Step 77 Time : 23 : 19. Cost: 0.172444658379718৳ . Ride Car from (90.360842000000005, 23.811548999999999) to (90.360832000000002, 23.811471999999998)
Step 78 Time : 23 : 20. Cost: 0.173511807498768৳ . Ride Car from (90.360832000000002, 23.811471999999998) to (90.360833999999997, 23.811394000000000)
Step 79 Time : 23 : 21. Cost: 0.060182984888676৳ . Ride Car from (90.360833999999997, 23.811394000000000) to (90.360836000000006, 23.811367000000001)
Step 80 Time : 23 : 22. Cost: 0.126909085053251৳ . Ride Car from (90.360836000000006, 23.811367000000001) to (90.360838999999999, 23.811309999999999)
Step 81 Time : 23 : 23. Cost: 0.085118249696872৳ . Ride Car from (90.360838999999999, 23.811309999999999) to (90.360844000000000, 23.811271999999999)
Step 82 Time : 23 : 24. Cost: 0.089535744503718৳ . Ride Car from (90.360844000000000, 23.811271999999999) to (90.360849000000002, 23.811232000000000)
Step 83 Time : 23 : 25. Cost: 0.485914257462671৳ . Ride Car from (90.360849000000002, 23.811232000000000) to (90.360884999999996, 23.811015999999999)
Step 84 Time : 23 : 26. Cost: 0.332562511771534৳ . Ride Car from (90.360884999999996, 23.811015999999999) to (90.360915000000006, 23.810869000000000)
Step 85 Time : 23 : 27. Cost: 0.377778678572278৳ . Ride Car from (90.360915000000006, 23.810869000000000) to (90.360949000000005, 23.810701999999999)
Step 86 Time : 23 : 28. Cost: 0.447789704973289৳ . Ride Car from (90.360949000000005, 23.810701999999999) to (90.360989000000004, 23.810504000000002)
Step 87 Time : 23 : 29. Cost: 0.135649248767400৳ . Ride Car from (90.360989000000004, 23.810504000000002) to (90.361001000000002, 23.810444000000000)
Step 88 Time : 23 : 30. Cost: 0.274220068792595৳ . Ride Car from (90.361001000000002, 23.810444000000000) to (90.361031999999994, 23.810324000000001)
Step 89 Time : 23 : 31. Cost: 0.225965346500867৳ . Ride Car from (90.361031999999994, 23.810324000000001) to (90.361057000000002, 23.810224999999999)
Step 90 Time : 23 : 32. Cost: 0.575351554388909৳ . Ride Car from (90.361057000000002, 23.810224999999999) to (90.361120999999997, 23.809972999999999)
Step 91 Time : 23 : 33. Cost: 0.200926490492951৳ . Ride Car from (90.361120999999997, 23.809972999999999) to (90.361137999999997, 23.809884000000000)
Step 92 Time : 23 : 34. Cost: 0.273486413377408৳ . Ride Car from (90.361137999999997, 23.809884000000000) to (90.361161999999993, 23.809763000000000)
Step 93 Time : 23 : 35. Cost: 0.461468279830729৳ . Ride Car from (90.361161999999993, 23.809763000000000) to (90.361209000000002, 23.809560000000001)
Step 94 Time : 23 : 36. Cost: 0.109068119769761৳ . Ride Car from (90.361209000000002, 23.809560000000001) to (90.361220000000003, 23.809512000000002)
Step 95 Time : 23 : 37. Cost: 0.357175645273281৳ . Ride Car from (90.361220000000003, 23.809512000000002) to (90.361256999999995, 23.809355000000000)
Step 96 Time : 23 : 38. Cost: 0.597678772349554৳ . Ride Car from (90.361256999999995, 23.809355000000000) to (90.361311999999998, 23.809090999999999)
Step 97 Time : 23 : 39. Cost: 0.692479994196057৳ . Ride Car from (90.361311999999998, 23.809090999999999) to (90.361374999999995, 23.808785000000000)
Step 98 Time : 23 : 40. Cost: 0.571487803333983৳ . Ride Car from (90.361374999999995, 23.808785000000000) to (90.361440000000002, 23.808534999999999)
Step 99 Time : 23 : 41. Cost: 0.500184224590877৳ . Ride Car from (90.361440000000002, 23.808534999999999) to (90.361496000000002, 23.808316000000001)
Step 100 Time : 23 : 42. Cost: 0.420439853819550৳ . Ride Car from (90.361496000000002, 23.808316000000001) to (90.361532999999994, 23.808129999999998)
Step 101 Time : 23 : 43. Cost: 0.498291193150965৳ . Ride Car from (90.361532999999994, 23.808129999999998) to (90.361609000000001, 23.807917000000000)
Step 102 Time : 23 : 44. Cost: 0.274269335497148৳ . Ride Car from (90.361609000000001, 23.807917000000000) to (90.361662999999993, 23.807804000000001)
Step 103 Time : 23 : 45. Cost: 0.185024120477698৳ . Ride Car from (90.361662999999993, 23.807804000000001) to (90.361699999999999, 23.807728000000001)
Step 104 Time : 23 : 46. Cost: 0.501609641530711৳ . Ride Car from (90.361699999999999, 23.807728000000001) to (90.361822000000004, 23.807531999999998)
Step 105 Time : 23 : 47. Cost: 0.274239594504008৳ . Ride Car from (90.361822000000004, 23.807531999999998) to (90.361889000000005, 23.807424999999999)
Step 106 Time : 23 : 48. Cost: 0.381583021963824৳ . Ride Car from (90.361889000000005, 23.807424999999999) to (90.361981999999998, 23.807276000000002)
Step 107 Time : 23 : 49. Cost: 0.352729373910278৳ . Ride Car from (90.361981999999998, 23.807276000000002) to (90.362072999999995, 23.807141000000001)
Step 108 Time : 23 : 50. Cost: 0.284291240108442৳ . Ride Car from (90.362072999999995, 23.807141000000001) to (90.362145999999996, 23.807032000000000)
Step 109 Time : 23 : 51. Cost: 0.433674676297936৳ . Ride Car from (90.362145999999996, 23.807032000000000) to (90.362262999999999, 23.806868999999999)
Step 110 Time : 23 : 52. Cost: 0.579472987660372৳ . Ride Car from (90.362262999999999, 23.806868999999999) to (90.362419000000003, 23.806650999999999)
Step 111 Time : 23 : 53. Cost: 0.175600627688246৳ . Ride Car from (90.362419000000003, 23.806650999999999) to (90.362468000000007, 23.806585999999999)
Step 112 Time : 23 : 54. Cost: 0.791925956102390৳ . Ride Car from (90.362468000000007, 23.806585999999999) to (90.362685999999997, 23.806291000000002)
Step 113 Time : 23 : 55. Cost: 0.412547249310428৳ . Ride Car from (90.362685999999997, 23.806291000000002) to (90.362793999999994, 23.806134000000000)
Step 114 Time : 23 : 56. Cost: 0.590389720037009৳ . Ride Car from (90.362793999999994, 23.806134000000000) to (90.362948000000003, 23.805909000000000)
Step 115 Time : 23 : 57. Cost: 1.104522387100222৳ . Ride Car from (90.362948000000003, 23.805909000000000) to (90.363236000000001, 23.805488000000000)
Step 116 Time : 23 : 58. Cost: 0.985629077300974৳ . Ride Car from (90.363236000000001, 23.805488000000000) to  Stadium (90.363500999999999, 23.805116999999999)
Step 117 Time : 23 : 59. Cost: 0.432638696388053৳ . Ride Car from  Stadium(90.363500999999999, 23.805116999999999) to (90.363321999999997, 23.805012000000001)
Step 118 Time : 24 : 0. Cost: 0.434772969937705৳ . Ride Car from (90.363321999999997, 23.805012000000001) to (90.363150000000005, 23.804895999999999)
Step 119 Time : 24 : 1. Cost: 0.783511029587828৳ . Ride Car from (90.363150000000005, 23.804895999999999) to (90.362840000000006, 23.804687000000001)
Step 120 Time : 24 : 2. Cost: 1.721764098783942৳ . Ride Car from (90.362840000000006, 23.804687000000001) to (90.362139999999997, 23.804252000000002)
Step 121 Time : 24 : 3. Cost: 0.972243783586478৳ . Ride Car from (90.362139999999997, 23.804252000000002) to (90.362403000000000, 23.803887000000000)
Step 122 Time : 24 : 4. Cost: 0.579595631095648৳ . Ride Car from (90.362403000000000, 23.803887000000000) to (90.362564000000006, 23.803671999999999)
Step 123 Time : 24 : 5. Cost: 0.168134152260005৳ . Ride Car from (90.362564000000006, 23.803671999999999) to (90.362503000000004, 23.803621000000000)
Step 124 Time : 24 : 6. Cost: 0.469581896348593৳ . Ride Car from (90.362503000000004, 23.803621000000000) to (90.362322000000006, 23.803490000000000)
Step 125 Time : 24 : 7. Cost: 0.709699614990324৳ . Ride Car from (90.362322000000006, 23.803490000000000) to (90.362536000000006, 23.803238000000000)
Step 126 Time : 24 : 8. Cost: 0.289803861581049৳ . Ride Car from (90.362536000000006, 23.803238000000000) to (90.362626000000006, 23.803137000000000)
Step 127 Time : 24 : 9. Cost: 0.153129266703243৳ . Ride Car from (90.362626000000006, 23.803137000000000) to (90.362570000000005, 23.803090999999998)
Step 128 Time : 24 : 10. Cost: 0.052542267265827৳ . Ride Car from (90.362570000000005, 23.803090999999998) to (90.362550999999996, 23.803075000000000)
Step 129 Time : 24 : 11. Cost: 0.208676528075107৳ . Ride Car from (90.362550999999996, 23.803075000000000) to (90.362476000000001, 23.803011000000001)
Step 130 Time : 24 : 12. Cost: 0.906750993829977৳ . Ride Car from (90.362476000000001, 23.803011000000001) to (90.362144999999998, 23.802738000000002)
Step 131 Time : 24 : 13. Cost: 0.091960353439815৳ . Ride Car from (90.362144999999998, 23.802738000000002) to (90.362109000000004, 23.802713000000001)
Step 132 Time : 24 : 14. Cost: 0.875204280664309৳ . Ride Car from (90.362109000000004, 23.802713000000001) to (90.361790999999997, 23.802447999999998)
Step 133 Time : 24 : 15. Cost: 0.801275153329739৳ . Ride Car from (90.361790999999997, 23.802447999999998) to (90.361514999999997, 23.802191000000001)
Step 134 Time : 24 : 16. Cost: 0.736605510318878৳ . Ride Car from (90.361514999999997, 23.802191000000001) to (90.361268999999993, 23.801947999999999)
Step 135 Time : 24 : 17. Cost: 0.800558542540933৳ . Ride Car from (90.361268999999993, 23.801947999999999) to (90.361361000000002, 23.801597999999998)
Step 136 Time : 24 : 18. Cost: 0.423030357617042৳ . Ride Car from (90.361361000000002, 23.801597999999998) to (90.361371000000005, 23.801407999999999)
Step 137 Time : 24 : 19. Cost: 2.127080658891441৳ . Ride Car from (90.361371000000005, 23.801407999999999) to (90.361295999999996, 23.800453999999998)
Step 138 Time : 24 : 20. Cost: 0.803369382335363৳ . Ride Car from (90.361295999999996, 23.800453999999998) to (90.361440999999999, 23.800118000000001)
Step 139 Time : 24 : 21. Cost: 0.130401095913194৳ . Ride Car from (90.361440999999999, 23.800118000000001) to (90.361459999999994, 23.800062000000000)
Step 140 Time : 24 : 22. Cost: 0.613849956226446৳ . Ride Car from (90.361459999999994, 23.800062000000000) to (90.361463999999998, 23.799786000000001)
Step 141 Time : 24 : 23. Cost: 0.828238727088448৳ . Ride Car from (90.361463999999998, 23.799786000000001) to (90.361554999999996, 23.799423000000001)
Step 142 Time : 24 : 24. Cost: 0.785701156342701৳ . Ride Car from (90.361554999999996, 23.799423000000001) to (90.361683999999997, 23.799090000000000)
Step 143 Time : 24 : 25. Cost: 0.541925262644979৳ . Ride Car from (90.361683999999997, 23.799090000000000) to (90.361778000000001, 23.798862000000000)
Step 144 Time : 24 : 26. Cost: 0.808728087540809৳ . Ride Car from (90.361778000000001, 23.798862000000000) to (90.361919000000000, 23.798521999999998)
Step 145 Time : 24 : 27. Cost: 0.944549605421549৳ . Ride Car from (90.361919000000000, 23.798521999999998) to (90.361489000000006, 23.798362000000001)
Step 146 Time : 24 : 28. Cost: 0.785671995868822৳ . Ride Car from (90.361489000000006, 23.798362000000001) to (90.361621000000000, 23.798030000000001)
Step 147 Time : 24 : 29. Cost: 0.491928186353409৳ . Ride Car from (90.361621000000000, 23.798030000000001) to (90.361689999999996, 23.797817999999999)
Step 148 Time : 24 : 30. Cost: 0.822255016268205৳ . Ride Car from (90.361689999999996, 23.797817999999999) to (90.361345999999998, 23.797623999999999)
Step 149 Time : 24 : 31. Cost: 1.371425540292075৳ . Ride Car from (90.361345999999998, 23.797623999999999) to (90.361497000000000, 23.797022999999999)
Step 150 Time : 24 : 32. Cost: 0.287236295790288৳ . Ride Car from (90.361497000000000, 23.797022999999999) to (90.361503999999996, 23.796894000000002)
Step 151 Time : 24 : 33. Cost: 0.269368546546841৳ . Ride Car from (90.361503999999996, 23.796894000000002) to (90.361509999999996, 23.796773000000002)
Step 152 Time : 24 : 34. Cost: 0.799416135481568৳ . Ride Car from (90.361509999999996, 23.796773000000002) to (90.361530000000002, 23.796413999999999)
Step 153 Time : 24 : 35. Cost: 0.227901366313184৳ . Ride Car from (90.361530000000002, 23.796413999999999) to (90.361642000000003, 23.796413999999999)
Step 154 Time : 24 : 36. Cost: 0.086869250005367৳ . Ride Car from (90.361642000000003, 23.796413999999999) to (90.361683999999997, 23.796420999999999)
Step 155 Time : 24 : 37. Cost: 0.446800065701793৳ . Ride Car from (90.361683999999997, 23.796420999999999) to (90.361622999999994, 23.796227999999999)
Step 156 Time : 24 : 38. Cost: 0.995881715023559৳ . Ride Car from (90.361622999999994, 23.796227999999999) to (90.361714000000006, 23.795788000000002)
Step 157 Time : 24 : 39. Cost: 0.680001485021807৳ . Ride Car from (90.361714000000006, 23.795788000000002) to (90.361379999999997, 23.795777999999999)
Step 158 Time : 24 : 40. Cost: 0.571009185284252৳ . Ride Car from (90.361379999999997, 23.795777999999999) to (90.361099999999993, 23.795760999999999)
Step 159 Time : 24 : 41. Cost: 0.525450410029052৳ . Ride Car from (90.361099999999993, 23.795760999999999) to (90.360843000000003, 23.795738000000000)
Step 160 Time : 24 : 42. Cost: 0.170495774404472৳ . Ride Car from (90.360843000000003, 23.795738000000000) to (90.360765000000001, 23.795710000000000)
Step 161 Time : 24 : 43. Cost: 0.294951336222559৳ . Ride Car from (90.360765000000001, 23.795710000000000) to (90.360828999999995, 23.795591000000002)
Step 162 Time : 24 : 44. Cost: 0.362797542686358৳ . Ride Car from (90.360828999999995, 23.795591000000002) to (90.360904000000005, 23.795442999999999)
Step 163 Time : 24 : 45. Cost: 0.574545094163868৳ . Ride Car from (90.360904000000005, 23.795442999999999) to (90.360941999999994, 23.795186999999999)
Step 164 Time : 24 : 46. Cost: 0.111213543861437৳ . Ride Car from (90.360941999999994, 23.795186999999999) to (90.360940999999997, 23.795137000000000)
Step 165 Time : 24 : 47. Cost: 0.726070760485585৳ . Ride Car from (90.360940999999997, 23.795137000000000) to (90.360906999999997, 23.794812000000000)
Step 166 Time : 24 : 48. Cost: 0.539424904235372৳ . Ride Car from (90.360906999999997, 23.794812000000000) to (90.360877000000002, 23.794571000000001)
Step 167 Time : 24 : 49. Cost: 1.072905466141743৳ . Ride Car from (90.360877000000002, 23.794571000000001) to (90.360823999999994, 23.794091000000002)
Step 168 Time : 24 : 50. Cost: 1.456696765227794৳ . Ride Car from (90.360823999999994, 23.794091000000002) to (90.360566000000006, 23.793479999999999)
Step 169 Time : 24 : 51. Cost: 0.615336325503540৳ . Ride Car from (90.360566000000006, 23.793479999999999) to (90.360268000000005, 23.793527000000001)
Step 170 Time : 24 : 52. Cost: 0.661924564972696৳ . Ride Car from (90.360268000000005, 23.793527000000001) to (90.359998000000004, 23.793361000000001)
Step 171 Time : 24 : 53. Cost: 0.329520728323525৳ . Ride Car from (90.359998000000004, 23.793361000000001) to (90.359860999999995, 23.793282000000001)
Step 172 Time : 24 : 54. Cost: 0.582927862658829৳ . Ride Car from (90.359860999999995, 23.793282000000001) to (90.359601999999995, 23.793170000000000)
Step 173 Time : 24 : 55. Cost: 1.121514391130485৳ . Ride Car from (90.359601999999995, 23.793170000000000) to (90.359088000000000, 23.792988000000001)
Step 174 Time : 24 : 56. Cost: 0.941318351985601৳ . Ride Car from (90.359088000000000, 23.792988000000001) to (90.358749000000003, 23.792700000000000)
Step 175 Time : 24 : 57. Cost: 0.279236516422203৳ . Ride Car from (90.358749000000003, 23.792700000000000) to (90.358648000000002, 23.792615000000001)
Step 176 Time : 24 : 58. Cost: 1.169197714897434৳ . Ride Car from (90.358648000000002, 23.792615000000001) to (90.358725000000007, 23.792093999999999)
Step 177 Time : 24 : 59. Cost: 0.972569171997348৳ . Ride Car from (90.358725000000007, 23.792093999999999) to (90.358806000000001, 23.791663000000000)
Step 178 Time : 25 : 0. Cost: 0.108336110568514৳ . Ride Car from (90.358806000000001, 23.791663000000000) to (90.358819999999994, 23.791616000000001)
Step 179 Time : 25 : 1. Cost: 0.472959459897820৳ . Ride Car from (90.358819999999994, 23.791616000000001) to (90.358862999999999, 23.791407000000000)
Step 180 Time : 25 : 2. Cost: 0.571357107586175৳ . Ride Car from (90.358862999999999, 23.791407000000000) to (90.359139999999996, 23.791364999999999)
Step 181 Time : 25 : 3. Cost: 0.666106456621089৳ . Ride Car from (90.359139999999996, 23.791364999999999) to (90.359226000000007, 23.791076000000000)
Step 182 Time : 25 : 4. Cost: 0.524505287078833৳ . Ride Car from (90.359226000000007, 23.791076000000000) to (90.359278000000003, 23.790845000000001)
Step 183 Time : 25 : 5. Cost: 0.651317114243899৳ . Ride Car from (90.359278000000003, 23.790845000000001) to (90.359402000000003, 23.790575000000000)
Step 184 Time : 25 : 6. Cost: 0.921979630599641৳ . Ride Car from (90.359402000000003, 23.790575000000000) to (90.359601999999995, 23.790203000000002)
