
Problem no : 6
Source:  (90.370000000000005, 23.789999999999999)
Destination:  (90.450000000000003, 23.750000000000000)
Step 54 Time : 12 : 35. Cost: 0.434741320616557৳ . Ride Metro from (90.380443999999997, 23.777563000000001) to  agargaon (90.380681999999993, 23.776812000000000)
Step 55 Time : 12 : 40. Cost: 0.223544546117891৳ . Ride Metro from  agargaon(90.380681999999993, 23.776812000000000) to (90.380804999999995, 23.776426000000001)
Step 56 Time : 12 : 45. Cost: 1.280094275265032৳ . Ride Metro from (90.380804999999995, 23.776426000000001) to (90.381451999999996, 23.774201000000001)
Step 57 Time : 12 : 50. Cost: 0.436709058237577৳ . Ride Metro from (90.381451999999996, 23.774201000000001) to (90.381673000000006, 23.773441999999999)
Step 58 Time : 12 : 55. Cost: 0.058862018621009৳ . Ride Metro from (90.381673000000006, 23.773441999999999) to (90.381703999999999, 23.773340000000001)
Step 59 Time : 13 : 0. Cost: 0.355052187599464৳ . Ride Metro from (90.381703999999999, 23.773340000000001) to (90.381891999999993, 23.772725000000001)
Step 60 Time : 13 : 5. Cost: 0.471689018368021৳ . Ride Metro from (90.381891999999993, 23.772725000000001) to (90.382157000000007, 23.771912000000000)
Step 61 Time : 13 : 10. Cost: 0.059289333621099৳ . Ride Metro from (90.382157000000007, 23.771912000000000) to (90.382191000000006, 23.771809999999999)
Step 62 Time : 13 : 15. Cost: 0.480609899532079৳ . Ride Metro from (90.382191000000006, 23.771809999999999) to (90.382465999999994, 23.770983000000001)
Step 63 Time : 13 : 20. Cost: 0.098733747268103৳ . Ride Metro from (90.382465999999994, 23.770983000000001) to (90.382498999999996, 23.770807999999999)
Step 64 Time : 13 : 25. Cost: 0.268409856339529৳ . Ride Metro from (90.382498999999996, 23.770807999999999) to (90.382572999999994, 23.770330000000001)
Step 65 Time : 13 : 30. Cost: 0.291849838507838৳ . Ride Metro from (90.382572999999994, 23.770330000000001) to (90.382659000000004, 23.769811000000001)
Step 66 Time : 13 : 35. Cost: 0.410721675889994৳ . Ride Metro from (90.382659000000004, 23.769811000000001) to (90.382862000000003, 23.769096000000001)
Step 67 Time : 13 : 40. Cost: 0.380192642248641৳ . Ride Metro from (90.382862000000003, 23.769096000000001) to (90.383072999999996, 23.768439999999998)
Step 68 Time : 13 : 45. Cost: 0.960192893598264৳ . Ride Metro from (90.383072999999996, 23.768439999999998) to (90.383184999999997, 23.766715999999999)
Step 69 Time : 13 : 50. Cost: 0.324607954625760৳ . Ride Metro from (90.383184999999997, 23.766715999999999) to (90.383247999999995, 23.766134999999998)
Step 70 Time : 13 : 55. Cost: 0.560715772690459৳ . Ride Metro from (90.383247999999995, 23.766134999999998) to (90.383391000000003, 23.765135000000001)
Step 71 Time : 14 : 0. Cost: 0.841825361180224৳ . Ride Metro from (90.383391000000003, 23.765135000000001) to (90.383478999999994, 23.763622999999999)
Step 72 Time : 14 : 5. Cost: 0.622354142773577৳ . Ride Metro from (90.383478999999994, 23.763622999999999) to (90.383539999999996, 23.762505000000001)
Step 73 Time : 14 : 10. Cost: 0.169212260962345৳ . Ride Metro from (90.383539999999996, 23.762505000000001) to (90.383555999999999, 23.762201000000001)
Step 74 Time : 14 : 15. Cost: 0.352912234787769৳ . Ride Metro from (90.383555999999999, 23.762201000000001) to (90.383589999999998, 23.761566999999999)
Step 75 Time : 14 : 20. Cost: 0.158224421479513৳ . Ride Metro from (90.383589999999998, 23.761566999999999) to (90.383610000000004, 23.761282999999999)
Step 76 Time : 14 : 25. Cost: 0.720823379443199৳ . Ride Metro from (90.383610000000004, 23.761282999999999) to (90.383697999999995, 23.759989000000001)
Step 77 Time : 14 : 30. Cost: 0.631136655839052৳ . Ride Metro from (90.383697999999995, 23.759989000000001) to (90.383775000000000, 23.758856000000002)
Step 78 Time : 14 : 35. Cost: 1.306041488776352৳ . Ride Metro from (90.383775000000000, 23.758856000000002) to (90.386336999999997, 23.758997000000001)
Step 79 Time : 14 : 40. Cost: 0.529648940423618৳ . Ride Metro from (90.386336999999997, 23.758997000000001) to (90.387376000000003, 23.759053999999999)
Step 80 Time : 14 : 45. Cost: 0.381305128512388৳ . Ride Metro from (90.387376000000003, 23.759053999999999) to (90.388124000000005, 23.759094999999999)
Step 81 Time : 14 : 50. Cost: 0.229913843788289৳ . Ride Metro from (90.388124000000005, 23.759094999999999) to (90.388575000000003, 23.759119999999999)
Step 82 Time : 14 : 55. Cost: 0.629178459412217৳ . Ride Metro from (90.388575000000003, 23.759119999999999) to (90.389809999999997, 23.759174999999999)
Step 83 Time : 15 : 0. Cost: 0.111311665702106৳ . Ride Uttara Bus from (90.389809999999997, 23.759174999999999) to   Firmgate (90.389841000000004, 23.759079000000000)
Step 84 Time : 15 : 10. Cost: 0.666080060768597৳ . Ride Uttara Bus from   Firmgate(90.389841000000004, 23.759079000000000) to (90.390122000000005, 23.758538000000001)
Step 85 Time : 15 : 20. Cost: 0.177083517441915৳ . Ride Uttara Bus from (90.390122000000005, 23.758538000000001) to  Farm Gate (90.390157000000002, 23.758382000000001)
Step 86 Time : 15 : 30. Cost: 0.786014551449487৳ . Ride Uttara Bus from  Farm Gate(90.390157000000002, 23.758382000000001) to (90.390298000000001, 23.757687000000001)
Step 87 Time : 15 : 40. Cost: 1.203646215559701৳ . Ride Uttara Bus from (90.390298000000001, 23.757687000000001) to (90.390709000000001, 23.756671999999998)
Step 88 Time : 15 : 50. Cost: 1.591986409829613৳ . Ride Uttara Bus from (90.390709000000001, 23.756671999999998) to (90.391254000000004, 23.755330000000001)
Step 89 Time : 16 : 0. Cost: 1.207130485333586৳ . Ride Uttara Bus from (90.391254000000004, 23.755330000000001) to (90.391666000000001, 23.754311999999999)
Step 90 Time : 16 : 10. Cost: 0.499914275307555৳ . Ride Uttara Bus from (90.391666000000001, 23.754311999999999) to (90.391823000000002, 23.753886000000001)
Step 91 Time : 16 : 20. Cost: 0.627371669305223৳ . Ride Uttara Bus from (90.391823000000002, 23.753886000000001) to (90.392021999999997, 23.753352000000000)
Step 92 Time : 16 : 30. Cost: 0.650992897648293৳ . Ride Uttara Bus from (90.392021999999997, 23.753352000000000) to (90.392232000000007, 23.752799000000000)
Step 93 Time : 16 : 40. Cost: 0.652043610876526৳ . Ride Uttara Bus from (90.392232000000007, 23.752799000000000) to (90.392442000000003, 23.752244999999998)
Step 94 Time : 16 : 50. Cost: 0.596998794181892৳ . Ride Uttara Bus from (90.392442000000003, 23.752244999999998) to (90.392634999999999, 23.751738000000000)
Step 95 Time : 17 : 0. Cost: 1.808895126427515৳ . Ride Uttara Bus from (90.392634999999999, 23.751738000000000) to  Sonarga hotel (90.393274000000005, 23.750219999999999)
Step 96 Time : 17 : 10. Cost: 0.455926395738719৳ . Ride Uttara Bus from  Sonarga hotel(90.393274000000005, 23.750219999999999) to (90.393422000000001, 23.749832999999999)
Step 97 Time : 17 : 20. Cost: 3.250779486894579৳ . Ride Uttara Bus from (90.393422000000001, 23.749832999999999) to (90.394407000000001, 23.747052000000000)
Step 98 Time : 17 : 30. Cost: 1.302617920781374৳ . Ride Uttara Bus from (90.394407000000001, 23.747052000000000) to (90.394774999999996, 23.745930000000001)
Step 99 Time : 17 : 31. Cost: 0.538053101796361৳ . Ride Car from (90.394774999999996, 23.745930000000001) to (90.395026999999999, 23.746003000000002)
Step 100 Time : 17 : 32. Cost: 0.417966915399128৳ . Ride Car from (90.395026999999999, 23.746003000000002) to (90.395223000000001, 23.746058999999999)
Step 101 Time : 17 : 33. Cost: 3.494390812474474৳ . Ride Car from (90.395223000000001, 23.746058999999999) to (90.396860000000004, 23.746531999999998)
Step 102 Time : 17 : 34. Cost: 2.828478133495826৳ . Ride Car from (90.396860000000004, 23.746531999999998) to (90.398184999999998, 23.746915000000001)
Step 103 Time : 17 : 35. Cost: 0.793753706148895৳ . Ride Car from (90.398184999999998, 23.746915000000001) to (90.398556999999997, 23.747022000000001)
Step 104 Time : 17 : 36. Cost: 1.360385012514746৳ . Ride Car from (90.398556999999997, 23.747022000000001) to (90.399193999999994, 23.747207000000000)
Step 105 Time : 17 : 37. Cost: 0.234289089947534৳ . Ride Car from (90.399193999999994, 23.747207000000000) to (90.399304000000001, 23.747237999999999)
Step 106 Time : 17 : 38. Cost: 1.733560803735006৳ . Ride Car from (90.399304000000001, 23.747237999999999) to (90.400115999999997, 23.747472999999999)
Step 107 Time : 17 : 39. Cost: 0.133462746272909৳ . Ride Car from (90.400115999999997, 23.747472999999999) to (90.400176999999999, 23.747495000000001)
Step 108 Time : 17 : 40. Cost: 0.126965923825529৳ . Ride Car from (90.400176999999999, 23.747495000000001) to (90.400234999999995, 23.747516000000001)
Step 109 Time : 17 : 41. Cost: 1.698195796786957৳ . Ride Car from (90.400234999999995, 23.747516000000001) to (90.401011999999994, 23.747793999999999)
Step 110 Time : 17 : 42. Cost: 0.191153149041763৳ . Ride Car from (90.401011999999994, 23.747793999999999) to (90.401100000000000, 23.747824000000001)
Step 111 Time : 17 : 43. Cost: 0.610545416294759৳ . Ride Car from (90.401100000000000, 23.747824000000001) to (90.401381000000001, 23.747920000000001)
Step 112 Time : 17 : 44. Cost: 0.852562548983713৳ . Ride Car from (90.401381000000001, 23.747920000000001) to (90.401773000000006, 23.748055000000001)
Step 113 Time : 17 : 45. Cost: 0.293228139266672৳ . Ride Car from (90.401773000000006, 23.748055000000001) to (90.401908000000006, 23.748100999999998)
Step 114 Time : 17 : 46. Cost: 0.601362103300703৳ . Ride Car from (90.401908000000006, 23.748100999999998) to (90.402185000000003, 23.748194999999999)
Step 115 Time : 17 : 47. Cost: 0.148353723217400৳ . Ride Car from (90.402185000000003, 23.748194999999999) to (90.402253000000002, 23.748218999999999)
Step 116 Time : 17 : 48. Cost: 1.871401941961284৳ . Ride Car from (90.402253000000002, 23.748218999999999) to (90.403114000000002, 23.748514000000000)
Step 117 Time : 17 : 49. Cost: 0.446168163248027৳ . Ride Car from (90.403114000000002, 23.748514000000000) to (90.403318999999996, 23.748584999999999)
Step 118 Time : 17 : 50. Cost: 0.678984886853207৳ . Ride Car from (90.403318999999996, 23.748584999999999) to (90.403636000000006, 23.748680000000000)
Step 119 Time : 17 : 51. Cost: 0.319385122267166৳ . Ride Car from (90.403636000000006, 23.748680000000000) to (90.403784999999999, 23.748725000000000)
Step 120 Time : 17 : 52. Cost: 0.793281462133160৳ . Ride Car from (90.403784999999999, 23.748725000000000) to (90.404155000000003, 23.748837000000002)
Step 121 Time : 17 : 53. Cost: 0.749037530823236৳ . Ride Car from (90.404155000000003, 23.748837000000002) to (90.404494000000000, 23.748968000000001)
Step 122 Time : 17 : 54. Cost: 0.563833713221331৳ . Ride Car from (90.404494000000000, 23.748968000000001) to (90.404748999999995, 23.749067000000000)
Step 123 Time : 17 : 55. Cost: 0.179808149272657৳ . Ride Car from (90.404748999999995, 23.749067000000000) to (90.404833999999994, 23.749089000000001)
Step 124 Time : 17 : 56. Cost: 0.992378747787043৳ . Ride Car from (90.404833999999994, 23.749089000000001) to (90.405302000000006, 23.749213999999998)
Step 125 Time : 17 : 57. Cost: 0.554216046989380৳ . Ride Car from (90.405302000000006, 23.749213999999998) to (90.405573000000004, 23.749237999999998)
Step 126 Time : 17 : 58. Cost: 0.821993295559712৳ . Ride Car from (90.405573000000004, 23.749237999999998) to (90.405974999999998, 23.749272999999999)
Step 127 Time : 17 : 59. Cost: 0.079387277586267৳ . Ride Car from (90.405974999999998, 23.749272999999999) to (90.406013999999999, 23.749272999999999)
Step 128 Time : 18 : 0. Cost: 0.612710975569485৳ . Ride Car from (90.406013999999999, 23.749272999999999) to (90.406315000000006, 23.749272000000001)
Step 129 Time : 18 : 1. Cost: 0.148596700209892৳ . Ride Car from (90.406315000000006, 23.749272000000001) to (90.406388000000007, 23.749272000000001)
Step 130 Time : 18 : 2. Cost: 1.248976766106463৳ . Ride Car from (90.406388000000007, 23.749272000000001) to (90.406994999999995, 23.749189999999999)
Step 131 Time : 18 : 3. Cost: 0.443997382121614৳ . Ride Car from (90.406994999999995, 23.749189999999999) to (90.407207999999997, 23.749147000000001)
Step 132 Time : 18 : 4. Cost: 0.564560818620073৳ . Ride Car from (90.407207999999997, 23.749147000000001) to (90.407478999999995, 23.749092999999998)
Step 133 Time : 18 : 5. Cost: 0.425261458967561৳ . Ride Car from (90.407478999999995, 23.749092999999998) to (90.407677000000007, 23.749032000000000)
Step 134 Time : 18 : 6. Cost: 0.618756187338654৳ . Ride Car from (90.407677000000007, 23.749032000000000) to (90.407965000000004, 23.748943000000001)
Step 135 Time : 18 : 7. Cost: 0.150660510037287৳ . Ride Car from (90.407965000000004, 23.748943000000001) to (90.408027000000004, 23.748906000000002)
Step 136 Time : 18 : 8. Cost: 0.601430627648819৳ . Ride Car from (90.408027000000004, 23.748906000000002) to (90.408275000000003, 23.748759000000000)
Step 137 Time : 18 : 9. Cost: 0.956189336276545৳ . Ride Car from (90.408275000000003, 23.748759000000000) to (90.408636999999999, 23.748484999999999)
Step 138 Time : 18 : 10. Cost: 0.520201118123157৳ . Ride Car from (90.408636999999999, 23.748484999999999) to (90.408833999999999, 23.748335999999998)
Step 139 Time : 18 : 11. Cost: 0.219487865598008৳ . Ride Car from (90.408833999999999, 23.748335999999998) to (90.408917000000002, 23.748273000000001)
Step 140 Time : 18 : 12. Cost: 1.476838478849110৳ . Ride Car from (90.408917000000002, 23.748273000000001) to (90.409486000000001, 23.747861000000000)
Step 141 Time : 18 : 13. Cost: 0.134071260783890৳ . Ride Car from (90.409486000000001, 23.747861000000000) to (90.409537999999998, 23.747824000000001)
Step 142 Time : 18 : 14. Cost: 0.626334697190465৳ . Ride Car from (90.409537999999998, 23.747824000000001) to (90.409769999999995, 23.747638999999999)
Step 143 Time : 18 : 15. Cost: 1.643639947798141৳ . Ride Car from (90.409769999999995, 23.747638999999999) to (90.410335000000003, 23.747111000000000)
Step 144 Time : 18 : 16. Cost: 0.551844127161868৳ . Ride Car from (90.410335000000003, 23.747111000000000) to (90.410525000000007, 23.746934000000000)
Step 145 Time : 18 : 17. Cost: 0.563896586432066৳ . Ride Car from (90.410525000000007, 23.746934000000000) to (90.410719000000000, 23.746752999999998)
Step 146 Time : 18 : 18. Cost: 0.578668531020331৳ . Ride Car from (90.410719000000000, 23.746752999999998) to (90.410937000000004, 23.746586000000001)
Step 147 Time : 18 : 19. Cost: 0.649232341935023৳ . Ride Car from (90.410937000000004, 23.746586000000001) to (90.411180999999999, 23.746397999999999)
Step 148 Time : 18 : 20. Cost: 0.172833998348015৳ . Ride Car from (90.411180999999999, 23.746397999999999) to (90.411246000000006, 23.746348000000001)
Step 149 Time : 18 : 21. Cost: 1.400891489652014৳ . Ride Car from (90.411246000000006, 23.746348000000001) to (90.411812999999995, 23.745991000000000)
Step 150 Time : 18 : 22. Cost: 0.239565625018116৳ . Ride Car from (90.411812999999995, 23.745991000000000) to (90.411910000000006, 23.745930000000001)
Step 151 Time : 18 : 23. Cost: 0.219846657628674৳ . Ride Car from (90.411910000000006, 23.745930000000001) to (90.411998999999994, 23.745874000000001)
Step 152 Time : 18 : 24. Cost: 0.360390099033841৳ . Ride Car from (90.411998999999994, 23.745874000000001) to (90.412139999999994, 23.745775999999999)
Step 153 Time : 18 : 25. Cost: 0.858087786996585৳ . Ride Car from (90.412139999999994, 23.745775999999999) to (90.412475999999998, 23.745543000000001)
Step 154 Time : 18 : 26. Cost: 0.932002178439581৳ . Ride Car from (90.412475999999998, 23.745543000000001) to (90.412841000000000, 23.745290000000001)
Step 155 Time : 18 : 27. Cost: 1.175409318584213৳ . Ride Car from (90.412841000000000, 23.745290000000001) to (90.413284000000004, 23.744951000000000)
Step 156 Time : 18 : 28. Cost: 0.308114322178846৳ . Ride Car from (90.413284000000004, 23.744951000000000) to (90.413399999999996, 23.744862000000001)
Step 157 Time : 18 : 29. Cost: 2.344714311596391৳ . Ride Car from (90.413399999999996, 23.744862000000001) to (90.414282999999998, 23.744185000000002)
Step 158 Time : 18 : 30. Cost: 0.800013837753337৳ . Ride Car from (90.414282999999998, 23.744185000000002) to (90.414676000000000, 23.744184000000001)
Step 159 Time : 18 : 31. Cost: 1.174581972753981৳ . Ride Car from (90.414676000000000, 23.744184000000001) to (90.415250999999998, 23.744228000000000)
Step 160 Time : 18 : 32. Cost: 1.370037651615219৳ . Ride Car from (90.415250999999998, 23.744228000000000) to (90.415924000000004, 23.744223000000002)
Step 161 Time : 18 : 33. Cost: 0.434709892283231৳ . Ride Car from (90.415924000000004, 23.744223000000002) to (90.416137000000006, 23.744209000000001)
Step 162 Time : 18 : 34. Cost: 0.352869012745295৳ . Ride Car from (90.416137000000006, 23.744209000000001) to (90.416309999999996, 23.744198999999998)
Step 163 Time : 18 : 35. Cost: 0.667437052918384৳ . Ride Car from (90.416309999999996, 23.744198999999998) to (90.416634000000002, 23.744244999999999)
Step 164 Time : 18 : 36. Cost: 1.225925267437382৳ . Ride Car from (90.416634000000002, 23.744244999999999) to (90.417232999999996, 23.744302000000001)
Step 165 Time : 18 : 37. Cost: 1.623704583806520৳ . Ride Car from (90.417232999999996, 23.744302000000001) to (90.418009999999995, 23.744467000000000)
Step 166 Time : 18 : 38. Cost: 0.354899939411248৳ . Ride Car from (90.418009999999995, 23.744467000000000) to (90.418183999999997, 23.744457000000001)
Step 167 Time : 18 : 39. Cost: 0.812819510500598৳ . Ride Car from (90.418183999999997, 23.744457000000001) to (90.418582999999998, 23.744443000000000)
Step 168 Time : 18 : 40. Cost: 0.382248440213113৳ . Ride Car from (90.418582999999998, 23.744443000000000) to (90.418602000000007, 23.744271999999999)
Step 169 Time : 18 : 41. Cost: 1.011372090247872৳ . Ride Car from (90.418602000000007, 23.744271999999999) to (90.419096999999994, 23.744311000000000)
Step 170 Time : 18 : 42. Cost: 1.103199494450658৳ . Ride Car from (90.419096999999994, 23.744311000000000) to (90.419619999999995, 23.744440999999998)
Step 171 Time : 18 : 43. Cost: 1.345628627113309৳ . Ride Car from (90.419619999999995, 23.744440999999998) to (90.420281000000003, 23.744447000000001)
Step 172 Time : 18 : 44. Cost: 0.802114397812578৳ . Ride Car from (90.420281000000003, 23.744447000000001) to (90.420661999999993, 23.744354999999999)
Step 173 Time : 18 : 45. Cost: 0.359266615556472৳ . Ride Car from (90.420661999999993, 23.744354999999999) to (90.420838000000003, 23.744343000000001)
Step 174 Time : 18 : 46. Cost: 0.878569733456631৳ . Ride Car from (90.420838000000003, 23.744343000000001) to (90.420882000000006, 23.743950000000002)
Step 175 Time : 18 : 47. Cost: 0.615596993998238৳ . Ride Car from (90.420882000000006, 23.743950000000002) to (90.420931999999993, 23.743677000000002)
Step 176 Time : 18 : 48. Cost: 0.706035078555152৳ . Ride Car from (90.420931999999993, 23.743677000000002) to (90.421278000000001, 23.743698999999999)
Step 177 Time : 18 : 49. Cost: 0.698411671082789৳ . Ride Car from (90.421278000000001, 23.743698999999999) to (90.421620000000004, 23.743673999999999)
Step 178 Time : 18 : 50. Cost: 0.490195329381255৳ . Ride Car from (90.421620000000004, 23.743673999999999) to (90.421859999999995, 23.743656000000001)
Step 179 Time : 18 : 51. Cost: 0.977540740242540৳ . Ride Car from (90.421859999999995, 23.743656000000001) to (90.422317000000007, 23.743791000000002)
Step 180 Time : 18 : 52. Cost: 0.182044908212726৳ . Ride Car from (90.422317000000007, 23.743791000000002) to (90.422405999999995, 23.743798999999999)
Step 181 Time : 18 : 53. Cost: 0.875402456037358৳ . Ride Car from (90.422405999999995, 23.743798999999999) to (90.422788999999995, 23.743977999999998)
Step 182 Time : 18 : 54. Cost: 0.585951141005867৳ . Ride Car from (90.422788999999995, 23.743977999999998) to (90.423052999999996, 23.744083000000000)
